DATE,WPU0121
1971-01-01,42.6
1971-02-01,42.6
1971-03-01,41.4
1971-04-01,41.7
1971-05-01,41.8
1971-06-01,41.7
1971-07-01,38.8
1971-08-01,37.7
1971-09-01,37.8
1971-10-01,38.8
1971-11-01,39.3
1971-12-01,40.7
1972-01-01,40.0
1972-02-01,39.7
1972-03-01,40.0
1972-04-01,41.5
1972-05-01,41.5
1972-06-01,38.5
1972-07-01,40.0
1972-08-01,44.3
1972-09-01,50.5
1972-10-01,54.1
1972-11-01,57.2
1972-12-01,67.4
1973-01-01,68.2
1973-02-01,59.5
1973-03-01,59.3
1973-04-01,61.2
1973-05-01,64.1
1973-06-01,73.7
1973-07-01,66.8
1973-08-01,126.5
1973-09-01,129.3
1973-10-01,125.6
1973-11-01,119.6
1973-12-01,136.6
1974-01-01,150.1
1974-02-01,149.1
1974-03-01,136.1
1974-04-01,105.8
1974-05-01,94.8
1974-06-01,100.4
1974-07-01,113.1
1974-08-01,116.5
1974-09-01,111.4
1974-10-01,128.7
1974-11-01,126.9
1974-12-01,121.8
1975-01-01,111.4
1975-02-01,106.0
1975-03-01,98.4
1975-04-01,94.7
1975-05-01,88.4
1975-06-01,83.9
1975-07-01,95.1
1975-08-01,101.6
1975-09-01,102.7
1975-10-01,102.1
1975-11-01,93.4
1975-12-01,90.1
1976-01-01,93.0
1976-02-01,95.2
1976-03-01,97.6
1976-04-01,90.7
1976-05-01,88.1
1976-06-01,92.0
1976-07-01,91.0
1976-08-01,80.9
1976-09-01,76.5
1976-10-01,71.7
1976-11-01,68.3
1976-12-01,68.6
1977-01-01,69.9
1977-02-01,70.8
1977-03-01,68.4
1977-04-01,67.6
1977-05-01,62.2
1977-06-01,58.3
1977-07-01,60.0
1977-08-01,59.4
1977-09-01,62.8
1977-10-01,63.7
1977-11-01,70.9
1977-12-01,70.6
1978-01-01,72.6
1978-02-01,73.9
1978-03-01,76.5
1978-04-01,86.3
1978-05-01,77.8
1978-06-01,78.3
1978-07-01,82.3
1978-08-01,82.4
1978-09-01,82.8
1978-10-01,85.7
1978-11-01,89.4
1978-12-01,87.1
1979-01-01,85.7
1979-02-01,87.8
1979-03-01,87.4
1979-04-01,88.5
1979-05-01,96.1
1979-06-01,102.6
1979-07-01,114.2
1979-08-01,106.8
1979-09-01,106.5
1979-10-01,105.8
1979-11-01,114.0
1979-12-01,111.0
1980-01-01,106.1
1980-02-01,109.1
1980-03-01,104.9
1980-04-01,97.2
1980-05-01,103.1
1980-06-01,100.4
1980-07-01,107.3
1980-08-01,108.9
1980-09-01,110.2
1980-10-01,118.1
1980-11-01,122.3
1980-12-01,111.9
1981-01-01,119.3
1981-02-01,113.1
1981-03-01,109.1
1981-04-01,112.2
1981-05-01,107.0
1981-06-01,106.7
1981-07-01,103.7
1981-08-01,102.5
1981-09-01,104.6
1981-10-01,108.3
1981-11-01,110.3
1981-12-01,105.2
1982-01-01,107.4
1982-02-01,104.9
1982-03-01,103.5
1982-04-01,105.9
1982-05-01,103.9
1982-06-01,104.0
1982-07-01,95.1
1982-08-01,91.0
1982-09-01,95.9
1982-10-01,93.2
1982-11-01,96.9
1982-12-01,98.4
1983-01-01,99.7
1983-02-01,102.2
1983-03-01,103.7
1983-04-01,106.7
1983-05-01,103.9
1983-06-01,100.4
1983-07-01,96.0
1983-08-01,97.6
1983-09-01,102.1
1983-10-01,99.8
1983-11-01,98.3
1983-12-01,97.9
1984-01-01,98.7
1984-02-01,93.8
1984-03-01,97.6
1984-04-01,101.5
1984-05-01,98.4
1984-06-01,99.7
1984-07-01,96.0
1984-08-01,94.5
1984-09-01,96.1
1984-10-01,95.1
1984-11-01,95.8
1984-12-01,93.4
1985-01-01,94.9
1985-02-01,94.8
1985-03-01,92.4
1985-04-01,94.1
1985-05-01,89.0
1985-06-01,88.9
1985-07-01,83.9
1985-08-01,77.4
1985-09-01,78.2
1985-10-01,80.6
1985-11-01,88.1
1985-12-01,88.7
1986-01-01,86.8
1986-02-01,86.3
1986-03-01,87.1
1986-04-01,87.2
1986-05-01,89.8
1986-06-01,72.4
1986-07-01,64.4
1986-08-01,64.3
1986-09-01,65.7
1986-10-01,69.0
1986-11-01,70.4
1986-12-01,72.1
1987-01-01,72.0
1987-02-01,73.0
1987-03-01,74.3
1987-04-01,71.9
1987-05-01,79.3
1987-06-01,68.8
1987-07-01,67.3
1987-08-01,66.0
1987-09-01,72.5
1987-10-01,75.5
1987-11-01,72.6
1987-12-01,79.9
1988-01-01,80.4
1988-02-01,84.2
1988-03-01,76.4
1988-04-01,81.2
1988-05-01,80.1
1988-06-01,97.2
1988-07-01,97.7
1988-08-01,98.3
1988-09-01,105.1
1988-10-01,108.1
1988-11-01,107.4
1988-12-01,108.4
1989-01-01,114.0
1989-02-01,111.1
1989-03-01,115.8
1989-04-01,109.2
1989-05-01,114.4
1989-06-01,107.6
1989-07-01,106.3
1989-08-01,106.6
1989-09-01,106.4
1989-10-01,106.2
1989-11-01,107.2
1989-12-01,109.3
1990-01-01,109.3
1990-02-01,103.2
1990-03-01,98.3
1990-04-01,100.8
1990-05-01,96.3
1990-06-01,96.1
1990-07-01,82.8
1990-08-01,74.6
1990-09-01,73.7
1990-10-01,72.5
1990-11-01,71.8
1990-12-01,71.7
1991-01-01,67.9
1991-02-01,70.8
1991-03-01,76.1
1991-04-01,76.4
1991-05-01,78.8
1991-06-01,77.7
1991-07-01,70.9
1991-08-01,77.7
1991-09-01,80.8
1991-10-01,87.0
1991-11-01,90.5
1991-12-01,98.3
1992-01-01,104.8
1992-02-01,112.7
1992-03-01,105.2
1992-04-01,99.7
1992-05-01,99.8
1992-06-01,105.0
1992-07-01,91.0
1992-08-01,84.2
1992-09-01,91.9
1992-10-01,94.4
1992-11-01,95.8
1992-12-01,97.1
1993-01-01,99.6
1993-02-01,96.5
1993-03-01,94.8
1993-04-01,96.7
1993-05-01,91.8
1993-06-01,89.0
1993-07-01,91.9
1993-08-01,97.4
1993-09-01,95.8
1993-10-01,102.8
1993-11-01,108.7
1993-12-01,115.2
1994-01-01,113.1
1994-02-01,110.5
1994-03-01,104.8
1994-04-01,104.0
1994-05-01,105.4
1994-06-01,100.6
1994-07-01,93.0
1994-08-01,91.4
1994-09-01,105.7
1994-10-01,111.6
1994-11-01,109.1
1994-12-01,108.8
1995-01-01,105.8
1995-02-01,104.0
1995-03-01,101.1
1995-04-01,103.2
1995-05-01,108.4
1995-06-01,114.7
1995-07-01,124.6
1995-08-01,121.6
1995-09-01,129.0
1995-10-01,133.2
1995-11-01,136.1
1995-12-01,141.3
1996-01-01,137.0
1996-02-01,142.6
1996-03-01,141.3
1996-04-01,149.3
1996-05-01,175.3
1996-06-01,155.8
1996-07-01,139.0
1996-08-01,128.5
1996-09-01,120.6
1996-10-01,118.6
1996-11-01,117.3
1996-12-01,114.0
1997-01-01,114.7
1997-02-01,112.4
1997-03-01,113.2
1997-04-01,121.7
1997-05-01,115.2
1997-06-01,110.1
1997-07-01,98.7
1997-08-01,103.2
1997-09-01,104.4
1997-10-01,102.2
1997-11-01,101.8
1997-12-01,101.1
1998-01-01,94.7
1998-02-01,95.8
1998-03-01,97.5
1998-04-01,92.6
1998-05-01,92.3
1998-06-01,84.5
1998-07-01,83.9
1998-08-01,76.7
1998-09-01,74.8
1998-10-01,85.7
1998-11-01,89.9
1998-12-01,85.9
1999-01-01,86.7
1999-02-01,83.0
1999-03-01,79.6
1999-04-01,78.6
1999-05-01,78.8
1999-06-01,79.7
1999-07-01,74.3
1999-08-01,79.6
1999-09-01,80.5
1999-10-01,77.4
1999-11-01,81.3
1999-12-01,74.0
2000-01-01,77.4
2000-02-01,80.3
2000-03-01,80.2
2000-04-01,78.0
2000-05-01,79.7
2000-06-01,81.2
2000-07-01,79.7
2000-08-01,73.1
2000-09-01,77.7
2000-10-01,85.2
2000-11-01,87.0
2000-12-01,84.3
2001-01-01,89.1
2001-02-01,85.1
2001-03-01,89.1
2001-04-01,83.2
2001-05-01,91.0
2001-06-01,87.1
2001-07-01,82.8
2001-08-01,81.9
2001-09-01,82.7
2001-10-01,82.8
2001-11-01,86.0
2001-12-01,85.7
2002-01-01,86.7
2002-02-01,84.6
2002-03-01,83.3
2002-04-01,82.2
2002-05-01,82.5
2002-06-01,85.6
2002-07-01,95.2
2002-08-01,106.1
2002-09-01,126.3
2002-10-01,124.6
2002-11-01,111.1
2002-12-01,106.3
2003-01-01,97.5
2003-02-01,102.7
2003-03-01,96.6
2003-04-01,93.4
2003-05-01,100.2
2003-06-01,98.2
2003-07-01,88.1
2003-08-01,98.3
2003-09-01,95.7
2003-10-01,92.8
2003-11-01,107.6
2003-12-01,110.6
2004-01-01,110.5
2004-02-01,108.3
2004-03-01,105.5
2004-04-01,110.8
2004-05-01,110.9
2004-06-01,106.5
2004-07-01,103.9
2004-08-01,95.3
2004-09-01,104.2
2004-10-01,101.9
2004-11-01,108.8
2004-12-01,105.1
2005-01-01,105.7
2005-02-01,101.2
2005-03-01,108.6
2005-04-01,98.3
2005-05-01,100.3
2005-06-01,100.2
2005-07-01,98.1
2005-08-01,96.9
2005-09-01,103.7
2005-10-01,109.2
2005-11-01,106.4
2005-12-01,104.0
2006-01-01,103.4
2006-02-01,107.8
2006-03-01,108.1
2006-04-01,115.3
2006-05-01,117.3
2006-06-01,115.3
2006-07-01,124.9
2006-08-01,110.1
2006-09-01,114.6
2006-10-01,128.2
2006-11-01,130.3
2006-12-01,127.2
2007-01-01,121.9
2007-02-01,130.1
2007-03-01,132.6
2007-04-01,134.8
2007-05-01,136.9
2007-06-01,150.4
2007-07-01,159.1
2007-08-01,172.9
2007-09-01,215.5
2007-10-01,227.5
2007-11-01,218.0
2007-12-01,265.9
2008-01-01,287.4
2008-02-01,340.1
2008-03-01,347.3
2008-04-01,269.1
2008-05-01,249.4
2008-06-01,233.7
2008-07-01,217.8
2008-08-01,218.9
2008-09-01,196.1
2008-10-01,161.3
2008-11-01,155.7
2008-12-01,144.9
2009-01-01,159.6
2009-02-01,158.4
2009-03-01,158.4
2009-04-01,152.3
2009-05-01,165.3
2009-06-01,172.8
2009-07-01,148.2
2009-08-01,135.4
2009-09-01,127.6
2009-10-01,137.1
2009-11-01,140.1
2009-12-01,136.8
2010-01-01,142.5
2010-02-01,137.1
2010-03-01,136.7
2010-04-01,134.7
2010-05-01,133.9
2010-06-01,130.1
2010-07-01,140.2
2010-08-01,168.8
2010-09-01,184.5
2010-10-01,183.5
2010-11-01,190.3
2010-12-01,204.2
2011-01-01,215.0
2011-02-01,244.9
2011-03-01,209.5
2011-04-01,235.9
2011-05-01,242.9
2011-06-01,235.3
2011-07-01,205.8
2011-08-01,206.4
2011-09-01,208.6
2011-10-01,200.3
2011-11-01,201.8
2011-12-01,187.5
2012-01-01,192.7
2012-02-01,193.3
2012-03-01,195.9
2012-04-01,190.7
2012-05-01,183.9
2012-06-01,185.8
2012-07-01,224.1
2012-08-01,224.6
2012-09-01,232.3
2012-10-01,234.7
2012-11-01,236.0
2012-12-01,231.6
2013-01-01,224.9
2013-02-01,214.4
2013-03-01,208.0
2013-04-01,208.5
2013-05-01,211.2
2013-06-01,207.4
2013-07-01,200.9
2013-08-01,191.4
2013-09-01,192.5
2013-10-01,201.7
2013-11-01,194.6
2013-12-01,194.6
2014-01-01,189.7
2014-02-01,191.0
2014-03-01,206.3
2014-04-01,210.8
2014-05-01,217.7
2014-06-01,193.8
2014-07-01,181.4
2014-08-01,172.9
2014-09-01,183.0
2014-10-01,176.8
2014-11-01,179.1
2014-12-01,184.9
2015-01-01,171.7
2015-02-01,167.1
2015-03-01,164.4
2015-04-01,157.8
2015-05-01,152.4
2015-06-01,168.3
2015-07-01,160.6
2015-08-01,142.7
2015-09-01,138.3
2015-10-01,143.3
2015-11-01,135.1
2015-12-01,138.1
2016-01-01,136.2
2016-02-01,128.4
2016-03-01,135.0
2016-04-01,127.9
2016-05-01,128.8
2016-06-01,132.7
2016-07-01,119.7
2016-08-01,116.0
2016-09-01,107.7
2016-10-01,108.4
2016-11-01,111.6
2016-12-01,113.1
2017-01-01,120.8
2017-02-01,126.8
2017-03-01,125.2
2017-04-01,123.0
2017-05-01,123.9
2017-06-01,135.6
2017-07-01,168.6
2017-08-01,134.2
2017-09-01,130.6
2017-10-01,130.7
2017-11-01,132.6
2017-12-01,127.4
2018-01-01,135.9
2018-02-01,143.3
2018-03-01,151.8
2018-04-01,155.0
2018-05-01,151.5
2018-06-01,163.3
2018-07-01,148.5
2018-08-01,158.3
2018-09-01,147.3
2018-10-01,149.9
2018-11-01,147.5
2018-12-01,151.0
2019-01-01,148.8
2019-02-01,151.8
2019-03-01,139.0
2019-04-01,135.6
2019-05-01,131.4
2019-06-01,146.6
2019-07-01,137.5
2019-08-01,124.2
2019-09-01,125.3
